0.000000000000000000e+00 2.551477170993733321e-02 3.379514071293979530e-03
9.000000000000000222e-01 1.633466135458167337e-02 2.551045512921453623e-03
2.000000000000000000e+00 5.654632448890821797e-03 1.568312864490643442e-03
3.000000000000000000e+00 1.739886907351022305e-02 2.751002749167794428e-03
3.100000000000000089e+00 1.727601446364001453e-02 2.634567506750502223e-03
4.400000000000000355e+00 2.527216174183514671e-02 3.134625874144070321e-03
5.400000000000000355e+00 2.031063321385901885e-02 2.844057518336459787e-03
6.400000000000000355e+00 2.163187855787476396e-02 2.865212309400664171e-03
7.299999999999999822e+00 1.171243941841680104e-02 2.174945398681140361e-03
8.800000000000000711e+00 1.475037821482602131e-02 2.361950831466867826e-03
9.500000000000000000e+00 2.203742203742203865e-02 3.027072719035558534e-03
1.009999999999999964e+01 1.718625099920063903e-02 2.620878706755395623e-03
1.119999999999999929e+01 1.909307875894988155e-02 2.755848540284609564e-03
1.240000000000000036e+01 1.576109498133554387e-02 2.556787226449181057e-03
1.319999999999999929e+01 4.417670682730923289e-03 1.331977827451967869e-03
1.419999999999999929e+01 1.075268817204301161e-02 2.069355803547045895e-03
1.509999999999999964e+01 2.375714914210294917e-02 3.232938507852852958e-03
1.680000000000000071e+01 2.376836646499567995e-02 3.204925880335204435e-03
1.710000000000000142e+01 2.259036144578313240e-02 3.367572255270767732e-03
1.810000000000000142e+01 9.359251259899208780e-03 2.595789255193656827e-03
1.939999999999999858e+01 6.691449814126394259e-03 1.577189846512745209e-03
2.019999999999999929e+01 1.563663440059568158e-02 2.412785070144400894e-03
2.110000000000000142e+01 2.304147465437788103e-02 2.857943193299733800e-03
2.230000000000000071e+01 1.880406167732230280e-02 2.659295905176937199e-03
2.319999999999999929e+01 1.696790852084101645e-02 2.501781624170146788e-03
2.430000000000000071e+01 1.277372262773722629e-02 2.159153205510808918e-03
2.510000000000000142e+01 7.425742574257425399e-03 1.750264309867691692e-03
2.610000000000000142e+01 1.921568627450980296e-02 2.745098039215686323e-03
2.719999999999999929e+01 2.337559429477020431e-02 3.043243164765692572e-03
2.839999999999999858e+01 1.758901758901759010e-02 2.746943044801736927e-03
